temperature_experiment, , , , , , , , , 
ID, temp_file, heart_file, uploaded_Y/N,date_begin_dd/mm/yy, date_end_dd/mm/yy, box_N, mass_g, size_cm, notes
009, temp_009_010.csv, heart_009.csv, Y/Y, 07/05/15, 08/05/15, S5, 14.190g, 4.2cm, -
010, temp_009_010.csv, heart_010.csv, Y/Y, 07/05/15, 08/05/15, S5, 15.188g, 4.5cm, -
011, temp_011_012.csv, heart_011.csv, Y/Y, 08/05/15, 09/05/15, S5, 14.177g, 4.2cm, -
012, temp_011_012.csv, heart_012.csv, Y/Y, 08/05/15, 09/05/15, S5, 10.181g, 4.0cm, weighed_when_(w.w.)_non_dormant
013, temp_013_014.csv, heart_013.csv, Y/Y, 11/05/15, 12/05/15, S6, 10.870g, 4.0cm, -
014, temp_013_014.csv, heart_014.csv, Y/Y, 11/05/15, 12/05/15, S6, 12.427g, 4.1cm, -
015, temp_015_016.csv, heart_015.csv, Y/Y, 12/05/15, 13/05/15, S6, 12.652g, 4.1cm, -
016, temp_015_016.csv, heart_016.csv, Y/Y, 12/05/15, 13/05/15, S7, 11.432g, 3.9cm, -
017, temp_017_018.csv, heart_017.csv, Y/Y, 13/05/15, 14/05/15, S7, 10.632g, 4.0cm, protective_bubble_w.w.
018, temp_017_018.csv, heart_018.csv, Y/Y, 13/05/15, 14/05/15, S8, 11.474g, 4.1cm, -
019, temp_019_020.csv, heart_019.csv,  recording, 14/05/15, 15/05/15, S8, 11.523g, 4.1cm, foam_w.w.
020, temp_019_020.csv, heart_020.csv,  recording, 14/05/15, 15/05/15, S8, 13.331g, 4.4cm, -
021, temp_021_022.csv, heart_021.csv,  , dd/mm/15, dd/mm/15, S8, 12.325g, 4.1cm, -
022, temp_021_022.csv, heart_022.csv,  , dd/mm/15, dd/mm/15, S7, 11.401g, 4.0cm, -

, , , , , , , , , 
experiment_trials, , , , , , , , , 
ID, file, , uploaded_Y/N,date_begin_dd/mm/yy, date_end_dd/mm/yy, box_N, mass_g, size_cm, notes
001, temp_001.csv,, Y,27/03/15, 29/03/15, S12, 12.18, 3.3, -
002, temp_002.csv,, Y,28/03/15, 29/03/15, S12, , , -
003, temp_003.csv,, Y,29/03/15, 30/03/15, S12, , , -
004, temp_004.csv,, Y,30/03/15, 31/03/15, S12, , , -
005, temp_005.csv,, Y,31/03/15, 01/04/15, S12, , , -
006, temp_006.csv,, Y,28/04/15, 29/04/15, S9, 10.760g, 3.8cm, -
007, temp_007.csv,, Y,28/04/15, 29/04/15, S9, 9.035g, 3.5cm, -
007, temp_008.csv,, Y,29/04/15, 29/04/15, S9, 9.035g, 3.5cm, -
007, temp_009.csv,, Y,29/04/15, 29/04/15, S9, 9.035g, 3.5cm, -
007, temp_010.csv,, Y,30/04/15, 01/05/15, S9, 9.035g, 3.5cm, -
008, temp_011.csv,, Y,01/05/15, 02/05/15, S9, 8.860g, 3.7cm, heart_rate
008, tempC_011.csv,, Y,01/05/15, 02/05/15, S9, 8.860g, 3.7cm, temperature
